Espa�ol,N�huatl
hombre (rev.),tlakatsintii
compra,tlakoualisti
come,tlakua
cocinar,tlakualchiualisti
olla para comida,tlakualkomit
comida (rev.),tlakualtsintii
"""cosa, saber, cuento""",tlamantii
aviso,tlanauatilisti
malestar de muelas,tlankochkokolisti
rodilla,tlankuaiti
destista,tlantepajtijk
diente,tiantli
maíz,tiaol
color,tiapal
numeros,tapoualmej
gracias,tasojkamati
rezumba,tlasoloni
buscadores,tlatemojkej
ruego,tlatalitilis
hombres,tlatlakaj
tierra,tlataltsin
abre,tlatlapoa
sonido,tlatsotsonal
seco,tlauajuak
desyerba,tlaxijuana
¿que?,¿tien?
¿por qué?,¿tilka?
negro,tilitik
zapote negro,tilitiktsapoti
posesivos,toaxkatlajtol
conejos,tochmej
ya vine,yoniuala
ya se ensució,yopitsotiak
ya lo hiciste,yotikchij
ya lo viste,yotikitak
ya lo buscaste,yotiktemoj
ya quedamos,yotimokajkej
ya caminamos mucho,yotinennejnenkej
ya se rompió,yotlapan
ya nevó,yotlaselpayaj
ya abrió,yotlatlapo
ya se secaron,youajuakej
ya se secó,youak
ya se agrietaron,yoxamankej
ya se fueron,yoyajkej
lentamente,yoyoliktsin
usted sembrara,tontokas
usted dará de comer,tonuellii
usted podrá,tonuellii's
usted irá,tonuits
usted va,tonyas
usted va,tonyoj
nuestra comida,totlakual
nuestra cerca,totlatsakual
totoles,totolimej
huevos,totoltemej
huevo,totoltetl
totolito,totoltsin
totolitos,totoltsitsin
nuestro día,totonal
caliente,totonki
pajaritos,tototsitsij
zapotes,tsapojmej
zapote,tsapotl
catarro,tsompil
cabeza,tsontekon
dolor de cabeza,tsontekonkokolisti
cabello,tsontil
dulce /miel,tsopelik
se regresará,ualmokuepas
y,uan
tardará,uejkaus
tal vez,ueles
sabroso,uelik
obligatorio,uelika
puede,ueliti
cae,uetsi
guajolote,ueuexoloj
grandecito,ueueyijtsin
guajolotes,uexolomej
grande,ueyi
se cuece,ulksi
pasado mañana,ulptla
viene,uits
vienen,uttsej
cara,xayak
desayuna,xialmasalo
llora,xichoka
hierbas,xijtsitsin
dile,xikili
avisale,xikinnauati
molestalos,xikintepini
traelos,xikinuallka
miralo,xikita
escuchalo,xikkaki
compralo,xikkoua
duermete,xikochi
mirelos,xikoninita
mirelo,xikonita
apurele,xikomnakili
cuidese,xikonmokutilaui
juntelo,xikonnechiko
busquelo,xikontemo
vaya a buscarlo,xikonternotij
llevelo,xikonuika
pruebelo,xikonyeko
alicele bien,xikonyektlaitati
buscalo,xiktemo
muelelo bien,xikyektesi
bánate,ximalti
levántate,ximeua
esperate,ximochia
peinate,ximopejpetla
preocupate,ximotekipacho
sientate,ximotlali
cambiate,ximotlapatili
dime,xinechili
comprame-algo,xinechkouili
enseñame,xinechmachti
espéreme,xinechonchia
déjeme,xinechonkaua
vete,xinechonmachti
deme,xinechonmaka
cuéntame,xinechtlapoui
vete,xioj
jitomate,xitomati
ven,xiuiki
hierba,xiuiti
jardin,xochimil
flor,xochiti
florecitas,xochitsitsij
árboles de durazno,xokokuajmej
busqueda de duraznos,xokotemolis
durazno,xokoti
pase usted,xonmokalaki
sientese,xonmoseui
preocupese,xonmotekipacho
venga,xonuiki
floreado,xoxochioj
crudo,xoxojki
ayer,yaljua
irā,yas
ya,ye
el,yej
ellos,yejjuan
yaestā,yeka
apenas,yekin
calientalo bien,yektotoni
cocerse bien,yekuiksi
se cocerán bien,yekuiksiskej
por eso,yenonik
epazote,yepasotl
será,yes
sangre,yestle
frijoles,yeti
ya llegó,yoajsik
ya salió,yokis
ya no,yokmo
animal,yolkatl
animales,yolcamej
animalitos,yolkatsitsin
ya dio a luz,yomopalevi
ya lo hice,yonikchij
ya les dije,yonikiniij
ya los busque,yonikintejremoj
ya lo vi bien,yonikyekitak
ya me bane,yonimalti
ya conteste,yonithanankilij
agua rojiza,achichil
hongo que le nace al agua,achichimalakatl
color naranja,achilkos
(ambystoma mexicanum) ajolote,acholotl
(alnus acuminata) ailite,ailitl
nunca,aik
juguete,ajawilis
semilla,ajcho
acostado boca arriba,ajkestok
levanta algo,ajkoki
espalda,ajkolmej
ataja,ajkotlatewia
"""salta, brinca""",ajkotsikuini
babosa,ajlawatl
(nasua narica) tejón,ajmatl
"""llega, arriba, encuentra""",ajsi
entiende,ajsikamati
"""(bakleyantus salicifolius) jarilla, azomiate""",ajsomiatl
se derrite,ajtia
lanzadardos,ajtlatl
bebe,ajtli
rocía,ajuechuia
complementa,ajxilia
"""toca, atina, apunta""",ajxilti
jugo,ajyotl
(heloderma horridium) escorpión,akaltetepoj
"""(commelina erecta l) commelina, hierba del pollo""",akaxaxan
(plantago lanceolata) llantén,akaxilotik
(simpsia amplexicaulis) acahual,akawal
quién,akin
quiénes,akijkej
quienes sean,akijkej saso
"""cualquiera, quien sea""",akin saso
saca agua,akixtia
(thamnophis eques) víbora de agua,akoatl
caracol,akoli
camarón de agua dulce,akonsilli
"""espeso, baboso, chicloso""",alatstik
flemas,alawak
aldea,altepemaitl
nadie,amo akaj
"""venero de agua, nacimiento de agua, manantial, estanque""",amanal
papalote,amapapalotl
lee,amatlajtoa
tiene sed,amiki
nada,amo tlen
libro,amoxtli
"""traba algo, toma algo""",ana
"""más alla del río, estanque o manantial""",analko
junto al agua,anawak
nada (verbo),anemi
remoja algo,apachiwi
espuma del agua,aposonalotl
se ahoga,apotsawi
"""se inunda, hunde algo o alguien en el agua""",apotsawia
se sumerge en el agua,apolij
hormiga,askatl
ala,askatlapal
(ardeidae) garza,astatl
se derrite,atia
aguado,atik
(bufonidae) sapo,atenpolokatl
río,atitla
(gallinula galeata) gallina de agua,atotolin
río,atoyak
donde resbala el agua,atoyawi
barranca,atlak
barrancada (inundación en la barranca),atlewatl
"""cascada, caída del agua""",atliwetsia
"""(tanacetum parthenium) planta llamada """"santa maría"""" """,atltemecha
(parsea americana) aguacate,awakatl
(ouercus crissipes) encino macho,awawastl
espina delgada,awatl
(taxodium huehuelii) ahuehuete,awewetl
color verde claro,axoxoktik
todavía,ayak
sonaja,ayakaxtl
todavía no,ayokmo
"""sarape, cobija""",ayatl
niebla,ayawitl
(phaseolus coccineus) ayocote,ayejkotl
(abies religiosa) oyamel,ayometl
(cucurbita) calabaza,ayotl
dulce de calabaza,ayotlaxakualol
(dasypodidae) armadillo,ayotochi
"""cae lodo, escurre """,chachapaka
echa relajo,chajchakua
payaso,chalatl
jade,chalchiwitl
"""gangozo, tartamudo""",chankua
"""habita, vive""",chantia
casa,chantli
"""cae algo acuoso, se extiende como excremento, rebota""",chapania
patea como guajolote,chapote
grasa,chawak
espera,chia
ciénega,chiaujtli
escupe,chicha
perro,chijchi
amarga,chichia
amargo,chichik
"""(urtica) chichicaztle, órtiga""",chichikastl
hiel,chichikatl
amargura,chichilistli
rojo,chichiltik
(cardinalis cardinalis) cardenal,chichiltotol
linaje,chichimekatl
fuma,chichina
se quema algo,chichinoa
gotear,chichipika
exprime una fruta,chichitoka
desbarata,chijchitika
saliva,chijchitl
va esperando,chijchixti
"""(argemone mexicana) chicalote blanco,  (argemone ochroleuca) chicalote amarillo""",chikalotl
"""recio, fuerte""",chikawak
luna llena,chikawak metsintli
"""madura, se arrecia""",chikawi
(bassariscus astutus) cacomixtle,chikina
"""chiquihuite, cesto, canasta""",chikiwitl
nueve,chiknawi
"""torcido, chueco""",chikol
"""chipepechtle, cesto para las tortillas""",chikpepechtli
(tyto alba pratincola) lechuza,chikuaujtli
pene,chilchotl
mano del molcajete,chiltemolotl
(capsicum anuum l) chile piquín,chiltekpin
unta chile,chilwia
cabellos chinos,chinte
"""limpio, esterilizado""",chipawak
"""moja, llovizna""",chipinia
gota,chipintli
(pinaroppapus roseus) chipule,chipuli
hace,chiwa
"""arregla, adorna, compone""",chijchiwa
travieso,chojne
llora,choka
llora por alguien,chokilia
huye,choloa
huida de una pareja para hacer matrimonio,chololtia
"""(cuniculus paca) tepescuintle, xolotl (animal mítico ligado a quetzalcoatl)""",choloko
quien huye,cholotl
resiembra,ekpowa
"""escalón, escalera""",ejkalo
tromba,ejekakoatl
"""remolino, tornado""",ejekamalakatl
chupa aire,ejekachichina
"""se echa aire, se abanica""",ejekapewia
"""viento, aire""",ejekatl
sopla con abanico,ejekawia
vena,ekatl
costilla,elchikij
siente asco,elel
"""se queja, expresa dolor""",elelewia
reflujo,elmotla
"""meter cizaña, intrigar""",elmoyawa
se golpea el pecho,eltewia
"""se burla, sonríe burlonamente""",elwetska
levanta,ewa
piel,ewatl
"""costra de la piel, corteza del árbol""",ewayotl
saca fibrar del maguey,ichana
"""borrego, lana, algodón""",ichkatl
a escondidas,ichtaka
habla en secrerto,ichtakatlajtoa
secreto,ichtakayotl
ladrón,ichtek
roba,ichtekilia
fibra del maguey,ichtli
respiración,ijiyotl
concerniente a,ijkatika
cierra los ojos,ijkopi
tejer,ijkiti
"""escribir, dibujar""",ijkuiloa
"""aspira, trasciende una fragancia, huele""",ijnekui
se agita,ijsika
está agitado (modo reverencial),ijsikatika
está agitado,ijsikatok
se apresura,ijsiwi
vómito,ijsotlal
estómago,ijte
diarrea,ijtekaxani
dolor de estómago,ijtekokolis
"""dentro, interior""",ijtik
baile,ijtotilis
algo,ijtla
pide,ijtlani
"""entre la boca, algo entremetido""",ikamaktitla
"""hermano, amigo""",iknij
hermandad,iknijyojtli
huérfano,iknotl
viuda,iknosowatl
viudo,iknotlakatl
encima,ikpak
pie,ikxitl
"""desea algo, desea saborear algo""",ilewia
desea o se antoja lo ajeno,ilewilia
"""amarra, ata""",ilpia
faja,ilpikatl
cielo,ilwikak
celebra algo,ilwikixtia
"""fiesta, día calendárico""",ilwitl
dice algo a alguien,ilwia
hora,imantli
"""a su lado, junto a él o ella""",inawak
"""desplaza, hace a un lado""",ijkuani
despierta,ijsa
sudor,ijtonal
se mete el dedo en el ojo,ipolaki
"""solo, único""",isel
soledad,iselyotl
tostar,iseki
recuperación,iskali
se recupera,iskalia
lo crece,iskaltia
palidece,istakliwi
plata,istakteokuitla
plateado,istakteokuitlatik
(artemisa ludoviciana) estafiate,istawiatl
blanquea,istaya
salado,istayo
pellizca,istekui
uña,istetl
"""hoja del maíz separada del totomoxtle, hoja de árbol""",iswatl
su pared,itepa
su medicina,itejpatl
señala a alguien,ititia
pide,itlani
mira,itta
detiene,itskia
obsidiana,itstli
reseca,itswaki
se emborracha,iwintia
pluma,iwitl
dificultad,iwiwikayotl
lágrima,ixayotl
saca las lágrimas,ixchoka
palidece,ixjistaya
se encuentra de frente conalgo o alguien,ixnamiki
bizco,ixnekui
se parece a uno,ixnewili
calcula con la vista,ixnenewili
adivina,ixnewi
párpado,ixkenpal
(portulaca oleracea) verdolaga,ixmikilitl
parpadea,ixkakapanto
variedad en cosas,ixkich
"""embarrado levemente, cara""",ixko
"""dar la cara, enfrentar""",ixkomajka
se enfrenta,ixkomajko
tiene algo en la frente,ixkopi
copia,ixkopina
copia,ixkopinal
ve de reojo,ixkotlachi
frente,ixkuaj
bisabuelo,ixkuamojkojkol
se termina enfrente de algo,ixkotla
lo pone al revés,ixkuepa
sonrió,ixpak
delante de,ixpanpa
presenta,ixpantia
"""ignora, pasa por alto a alguien""",ixpapanowia
se sonroja,ixpinawak
se va sonrojando,ixpipinati
está vigilando,ixpixtok
se equivoca,ixpolowa
ciego,ixpopoyotl
ojo,ixtelolo
mojonera,ixtemachioti
revolcado,ixtemiko
confronta,ixtenanamik
sinverguenza,ixtepetla
hipócrita,ixtexaxayak
empuja,ixtopewa
conocedor,ixtlamati
abre algo oculto,ixtlapowa
abofetea,ixtlatsini
está a la entrada de la noche,ixtlatlamiki
"""llano, valle""",ixtlawaka
ve con malos ojos,ixtlawelita
se sonroja,ixtlekomoni
pestaña,ixtsonpite
cara de viejo,ixwewe
sonríe,ixwetska
anda sonriendo,ixwetskatinemi
con,ka
más,kachi
balancea,kajkakawa
matraca,kajkalaka
granulado,kajkayaka
(passerina cyanea) pájaro azulejo,kajkax
engaña,kajkayawa
fui a engañar,kajkayawato
¿dónde está?,kajtlin
espuma del chocolate,kakaoposonalotl
persona flaca,kakalach
(ranidae) rana,kakalatl
boca,kakamak
desaseado,kakasol
"""flojo, desajustado""",kakaxaktik
siente flojo algo,kakaxaka
está flojo,kakaxakatok
(ipomoea stans) tumbavaquero,kakaxtlapa
cacahuate,kakawatl
"""oye, escucha""",kaki
amenaza,kakistilia
(procyon) mapache,kakomistli
"""entrar, se mete""",kalaki
fachada de una casa,kalox
saludo cuando se llega a una casa y se llama al dueño,kaltentsinko
escuela,kaltlamachti
ventana,kaltlanextli
puerta,kaltsakual
junta las bocas,kamawia
"""bromea, chancea""",kamanawia
hablador,kamatsopel
algún lugar,kama
morado,kamojtik
(ipomoea batatas) camote,kamotl
"""agarra, toma""",kana
adelgaza algo,kanawa
delgado,kanawak
dónde,kanin
"""donde sea, dondequiera""",kan saso
(prunus salicifolia) capulín,kapulin
(latrodectus mactans) araña capulina,kapultokatl
cuál,katli
deja algo,kawa
"""se abstiene, rechaza algo""",kawaltia
tiempo,kawitl
"""se afloja, se desata""",kaxani
afloja algo,kaxawa
decaimiento,kaxawalis
cáscara,kaxayewatl
cajete,kaxitl
(jasminum) jazmín (rosaceae) rosa,kaxtilanxochitl
"""cortar la cabeza de una flor, degollar""",kechkotona
garganta,kechtotolon
nuca,kechkuayo
enreda el cuello,kechtetsilo
"""levanta, para algo, copula""",ketsa
orgía,keketsoa
cuándo,keman
"""cómo, como""",kemin
ropa,kemitl
cómo,ken
lo que sea,kenin yo
describe,kenye
¿cuánto?,keski
¿cuántas veces?,keskipa
cadera,kestli
torcedura en la parte correspondiente de la cadera,kestepuli
renguea,keswesti
"""trabaja el tiempo, trabaja la lluvia en sentido ritual""",kiautlasas
"""tiempero, trabajador ritual de la lluvia""",kiaujtlaske
llueve,kiauwitia
lo regañan,kiawa
lluvia,kiawitl
silba,kijkisi
"""va saliendo, va silbando""",kijkisti
gruñir,kikinaka
se antoja de algo,kilewi
"""lo recuerda, lo piensa""",kilnamiki
(mus) ratón,kimichi
(chiroptera) murciélago,kimichpatla
(rattus) rata,kimichtetsa
le gusta,kipaktia
lo sahuma,kipopochwia
salir,kisa
le pondrá algo,kitekis
lo acaba,kitlamia
tira algo,kitlatewia
agarra,kitski
arresta,kitskike
"""sujeta, agarra sin soltar""",kitskito
lo ves,kitta
lo ven,kinitta
ambos,kixome
saca,kixtia
"""le saca algo a alguien, le quita algo a alguien""",kixtlilia
tiene sueño,kochmiki
bosteza,kochkamachaloa
cama,kochtlapech
se duele,kokoa
"""alega, odia, detesta a alguien""",kokolia
enfermizo,kokoliso
despedaza,kokototsa
persona enferma,kokox
enfermero,kokoxpixke
encorvado,koli
(typhlochactas mitchelli) alacrán,kolotl
(pandinus imperator) escorpión,kolotokatl
(verbo) curva,kolowa
"""se encorva, tuerce algo""",koltia
olla,komitl
retumba,komoni
"""agita, alborota""",komonia
le pone agua,konateki
lo hace,konchiwa
parto,konepiayankuik
niñera,konepixke
"""niño pequeño, chamaco""",konetsotso
lo ve,konitta
lo agarra,konkitski
lo saca,konkixtia
lo quita,konkixtilia
lo come,konkua
lo quiere,konneki
lo vende,konnemaka
lo tiene,konpia
lo tira,kontlatewia
lo desyerba,kontlaxiwuana
lo cierra,kontsakua
lo lleva,konwika
lo destruye,konxitinia
sahumerio,kopalkaxitl
saca algo,kopina
luciérnaga,kopitl
(leopardus pardalis) onza,koselotl
collar,koskatl
(gymnogyps californianus) cóndor mexicano,koskakuaujtli
"""ronca, gruñe""",kotaloa
camisa,koton
se revienta,kotoni
reduce,kotosowa
retorcido,kotsiltik
pantorrilla,kotstli
compra,kowa
"""penetra, agujera """,koyonia
agujero,koyok
"""horadado, agujerado""",koyonki
color café,koyotik
dios de la danza,koyowewe
(passeridae) gorrión,kuachichil
persona alta,kuachochol
"""mollera, fontanela""",kuaitl
coscorrón,kuatetsotsona
alto,kuatik
(carya illinoinensis) nuez,kuajkakawatl
cuerno,kuajkua
embarado,kuajkuati
"""cornudo, toro, vaca""",kuajkuaye
tambor,kuajkuetlaxkaxitl
rama de árbol,kuajmaitl
vendedor de leña,kuajnemakak
leñador,kuajtek
trompo,kuajtelolo
da de palos,kuajwia
labra la madera,kuajxima
hierve a borbotones,kuakualaka
"""picado -si se habla de los dientes-, apolillado""",kualotok
puede,kualti
da de comer a la fuerza,kualtia
"""(lynx rufus) gato montés, lince""",kuamiston
calavera,kuaomitl
mareo,kuapoliwi
despunta,kuaposteki
(romaleidae taeniopoda) chapulín,kuatepos
logra,kuatika
gorro,kuatlaken
sombrero,kuatlasekawitotl
capullo,kuatlakayotl
"""cercena, descalabra""",kuatlapana
(aquila) águila,kuaujtli
árbol,kuawitl
máscara,kuaxayakak
(parmentiera aculeata) cuajilote,kuaxilotl
remolino de la cabeza,kuayolo
mareo,kuayowinti
húmedo,kuechawak
falda,kueitl
tiembla su cuerpo,kuekuetlaka
"""se zarandea, mueve el trasero""",kueloa
surco,kuemitl
rosa,kuenchotik
fuera,kuentla
"""troje, lugar donde se guardan las semillas""",kueskomatl
"""vuelve, retorna""",kuepa
"""dobla, repliega algo""",kuepalchoa
"""regresa algo, devuelve""",kuepilia
"""se abre, estalla (como una palomita de maíz)""",kueponi
"""piel, cuero""",kuetlax
intestino,kuetlaxkol
"""pelota, balón""",kuetlaxmimiloni
(ranidae) rana,kueyatl
"""toma, agarra""",kui
"""canto, canción""",kuikatl
(hirundo rustica) golondrina,kuikuiskatl
arrebata,kuilia
"""ano, el recto""",kuijchil
"""cree, obedece""",kuitia
"""defeca, caga""",kuitlachiwa
"""estiércol, mierda, heces fecales""",kuitlatl
cola,kuitlapil
revienta de coraje,kuitlatopok
"""tipo de alga de lago, lugar donde se seca el excremento""",kuitlawak
gavilán,kuixi
"""cuixtle, residuos carbonosos en un techo""",kuixtli
"""cerdo, lechón""",lecho
que no…,mach
siente algo,machilia
"""línea, dibujo""",machioti
"""dibuja, escribe""",machiotia
"""signo, firma, letra""",machiotl
"""enseña, predica""",machtia
golpea,maga
amigo,maiknij
manojo,maixkoch
da,majka
"""talla a alguien para bañarlo, soba""",majtelo
martillo,majtetl
puño,majtolo
apura,makili
se astilla,makilia
saca algo con la mano,makixtia
gira,malakachowa
"""malacate, rueca""",malakatl
"""retuerce, enreda, intriga """,malinaloa
que se enreda,malinkatl
astilla,malistli
formar,mamana
"""ofrenda, da algo, ofrece, pone en el suelo""",mana
"""está colocado, está depositado, está presente, está en uso""",mani
"""se prepara, alberga a alguien, se dispone a recibir""",mania
voy a decirle,manikilwi
voy a llamarlos,manikinnotsa
voy a buscarlo,maniktemoti
mano izquierda,maopoch
(procyon) mapache,mapach
unta,mapachowa
se adorna,mapanti
tiene diarrea,mapitsa
que se quiebre,maposteki
venado,masatl
persona,masewal
se lava las manos,majtejki
(nasua narica) tejón,matejko
hoja de una planta,majtlapal
da masaje,matelowa
sabe,mati
vamos a verlo,matikittij
azul,matlaltik
"""la de la falda azul, nombre de la montaña más alta en tlaxcala""",matlalkueitl
red,matlatl
internet,matlatsalan
lo contagió,mawa
juego,mawil
jugar,mawiltia
"""dignidad, honor, honra""",mawitso
"""precioso, lindo""",mawitstik
"""persona preciosa, está precioso""",mawistikatsintli
"""taparrabos, maxtle""",maxtli
tiene hambre,mayana
hambre,mayanalis
mano derecho,mayekantl
muslo,mejstlapach
pierna,mejstli
"""lazo, hilo de algodón""",mekatl
retoño del maguey,mekoatl
lo que queda del maguey raspado,mekomitl
"""deveras, verdad, algo recto""",melawak
carga (verbo),meme
memela gruesa,memelatonpits
hongo del maguey,menanakal
pulque,meoktli
eclipse de luna,meskualo
mes,mestli
luz de la luna,mestona
lindero,metepanko
maguey,metl
mano del metate,metlapil
metate,metlatl
luna,metsintli
raíz del maguey,metsontetetl
centro del maguey,meyolotl
espiga de la caña de maíz,miawatl
granos de la espiga,miawayotl
charal,michtlal
defeca,mijkuitla
se revuelca,mijmilowa
vomita,mijsotla
se atraganta de agua,mijti
sudar,mijtonia
bailar,mijtotia
sepultura,mikatekochtli
muerto,miketl
muere,miki
"""mata, asesina, caza""",miktia
"""lugar de muertos, infierno (en una visión religiosa europea)""",miktlan
terreno de cultivo,milpan
"""se revuelca, riega algo""",mimilowa
cosa rústica,mimiltik
(puma concolor) puma,mistli
flecha,mitl
"""te da permiso, te deja""",mitskawa
te enfermas,mitskokowa
le juzgan a usted,mitsontekilia
te juzgan,mitstekilia
nubes en forma serpentine,mixkoatl
podrido,tlapalax
"""pinta, colorea""",tlapalwia
"""cercena, hace pedazos""",tlapana
trueque,tlapapajtil
se cambia de ropa,tlapatilia
se abre de piernas (mujer),tlapeloa
relámpago,tlapepetlanej
se orina,tlapiasoa
"""sopla, toca un instrumento de viento""",tlapitsa
flauta,tlapitsal
"""se ensucia, se mancha""",tlapitsotilia
"""abre, cuenta""",tlapowa
fracasa,tlapolo
números,tlapolwalmej
limpia,tlapojpowa
quien sahuma,tlapopochwike
hongo escobilla,tlapopotlnanakatl
perdona,tlapopolwia
"""infusión, té """,tlaposonalatl
hiede,tlapotoni
está a la entrada de la noche,tlapoyawa
acarrea,tlasaka
aprende,tlasalo
nieva,tlasejpayawi
pedimento de matrimonio,tlasejsewitl
sombra,tlasekawil
pone a la sombra algo,tlasekayatlalia
comulga,tlaselilia
une,tlasetia
incluye,tlasetili
"""apaga el fuego, apaga la luz""",tlasewia
escasea,tlasojtia
ama,tlasojtla
momawitsotsiᴎ gracias a usted,tlasojkamati
rezumba,tlatsoloni
